순번,관할관청,운행업체,노선번호,기점,종점,인가거리(km),인가대수,출퇴근배차,평일배차,주말배차,주중상행첫차,주중상행막차,주말상행첫차,주말상행막차,주중하행첫차,주중하행막차,주말하행첫차,주말하행막차,데이터기준일 
1,남양주시,대원운수,1번,진벌리차고지(미정차),강변역(A),60.6,12,15,25,40,4:25,23:45,4:25,23:25,5:30,1:00,5:30,0:40,2026-02-13
2,남양주시,대원운수,1-4번,차산리,미사동차고지.한강뚝방모랫길,92.4,11,20,35,60,5:00,22:00,5:00,22:00,5:00,0:00,5:00,0:00,2026-02-13
3,남양주시,경기운수,10-5번,호평동차고지,당고개역,74,9,25,35,45,4:55,22:25,4:55,22:25,6:15,23:45,6:15,23:45,2026-02-13
4,남양주시,대원운수,100번,진벌리차고지(미정차),강변역(B),72.8,9,10,30,35,4:55,22:45,4:55,22:45,6:00,23:50,6:00,23:50,2026-02-13
5,남양주시,경기운수,1000번,호평동차고지,잠실광역환승센터,55.8,6,20,40,40,5:30,23:30,5:30,22:50,6:20,0:20,6:20,23:45,2026-02-13
6,남양주시,대원운수,1000-1번,호평동차고지,잠실광역환승센터,59,2,20,80,80,5:50,22:50,5:50,22:50,6:40,23:40,6:40,23:40,2026-02-13
7,남양주시,대원운수,1001번,청학리,잠실광역환승센터,64.6,13,10,20,30,5:10,23:00,5:10,23:00,6:00,23:50,6:00,23:50,2026-02-13
8,남양주시,대원운수,1003번,다산차고지,잠실광역환승센터,43.4,10,7,17,30,5:30,23:00,5:30,23:00,6:15,23:45,6:15,23:45,2026-02-13
9,남양주시,대원운수,1006번,다산차고지,강변역(A),36.8,7,10,25,40,5:40,23:10,5:40,23:10,6:15,23:55,6:15,23:55,2026-02-13
10,남양주시,대원운수,105번,진벌리차고지(미정차),당고개역,48.6,6,19,40,45,5:00,23:15,5:00,23:15,5:50,0:15,5:50,0:15,2026-02-13
11,남양주시,대원운수,105-1번,광릉내종점,당고개역,32.1,5,15,30,45,5:20,23:35,5:20,23:35,5:55,0:15,5:55,0:15,2026-02-13
12,남양주시,경기버스,11번,소학1리,강변역(A),80.7,5,40,50,65,5:00,23:00,5:00,23:00,6:05,0:20,6:05,0:20,2026-02-13
13,남양주시,대원운수,1100번,차산리,신사역3번출구,89.4,10,20,60,60,5:00,23:00,5:00,23:00,6:50,0:30,6:50,0:30,2026-02-13
14,남양주시,대원운수,112-1번,도곡리차고지대기(미정차),테크노마트앞.강변역(D),56.4,9,20,30,40,5:10,22:30,5:10,22:30,6:20,23:40,6:20,23:40,2026-02-13
15,남양주시,경기버스,115번,사능차고지,석계역1번출구A,34.9,8,10,25,30,4:20,22:40,4:20,22:40,5:20,23:40,5:20,23:40,2026-02-13
16,남양주시,대원운수,1200번,차산리,잠실광역환승센터,66.8,8,15,55,40,5:00,22:30,5:00,22:30,6:00,23:30,6:00,23:30,2026-02-13
17,남양주시,경기버스,155번,청학리,석계역,32,15,7,15,20,4:25,22:45,4:25,22:45,5:05,23:25,5:05,23:25,2026-02-13
18,남양주시,대원운수,165번,호평동차고지,현대코아,53.9,27,10,12,25,4:30,22:30,4:30,22:30,5:35,23:50,5:35,23:50,2026-02-13
19,남양주시,대원운수,166-1번,연대농장입구.도곡리종점,현대코아,43.2,9,15,35,40,5:20,23:30,5:20,23:30,6:25,0:50,6:25,0:50,2026-02-13
20,남양주시,대원운수,1660번,도곡리차고지대기(미정차),테크노마트앞.강변역(D),38.7,8,15,30,30,5:00,0:20,5:00,0:20,5:30,1:00,5:30,1:00,2026-02-13
21,남양주시,대원운수,167-1번,농수산물시장,율석3리,24.8,1,90,90,90,5:45,20:20,5:45,20:20,6:25,21:00,6:25,21:00,2026-02-13
22,남양주시,대원운수,1670번,연대농장입구.도곡리종점,잠실역,40.3,11,8,25,25,5:07,0:20,5:07,0:20,5:30,1:00,5:30,1:00,2026-02-13
23,남양주시,대원운수,1670-1번,연대농장입구.도곡리종점,잠실역,42.5,0,20,0,,6:50,0:00,,,7:50,0:00,,,2026-02-13
24,남양주시,대원운수,168번,차산리,연대농장입구.도곡리종점,58,3,60,140,180,5:50,21:30,5:50,21:30,7:20,22:50,7:20,22:50,2026-02-13
25,남양주시,대원운수,1700번,연대농장입구.도곡리종점,서초푸르지오써밋.롯데캐슬클래식,54.3,9,13,30,40,5:00,22:30,5:00,22:30,6:10,23:40,6:10,23:40,2026-02-13
26,남양주시,경기운수,2000번,진벌리차고지(미정차),강남역.강남역사거리,92.2,18,8,20,25,4:55,22:55,4:55,22:10,6:35,0:45,6:35,23:45,2026-02-13
27,남양주시,경기운수,2000-1번,진벌리차고지(미정차),강남역.강남역사거리,92.3,0,20,20,,6:22,6:42,,,8:15,8:35,,,2026-02-13
28,남양주시,경기운수,202번,진벌리차고지(미정차),현대코아,63.7,14,12,20,25,4:37,23:50,4:37,23:50,5:40,1:05,5:40,1:05,2026-02-13
29,남양주시,경기운수,21번,금곡2리.경복대학,의정부역.흥선지하도입구,55.2,4,40,50,90,5:00,22:10,5:00,22:10,6:00,23:10,6:00,23:10,2026-02-13
30,남양주시,경기버스,23번,내촌차고지대기(미정차),천호역(중),87.5,23,12,25,30,3:50,22:30,3:50,22:30,5:35,0:35,5:35,0:35,2026-02-13
31,남양주시,대원운수,30-15번,연대농장입구.도곡리종점,마석역,32.1,1,100,140,140,5:50,19:50,5:50,19:50,6:30,20:30,6:30,20:30,2026-02-13
32,남양주시,대원운수,33-2번,산성마을입구,대성리종점,30.1,1,105,150,150,6:40,21:40,6:40,21:40,7:20,22:20,7:20,22:20,2026-02-13
33,남양주시,대원운수,34번,다산차고지,도농역.동화중고교.다산플루리움(중),12.5,8,7,18,25,5:50,23:00,5:50,23:00,6:15,23:20,6:15,23:20,2026-02-13
34,남양주시,대원운수,38번,수택고등학교정문,장자호수공원역5번출구.한성3차.구리고교,23.3,9,7,20,30,5:20,22:15,5:20,22:15,5:50,23:00,5:50,23:00,2026-02-13
35,남양주시,경기운수,5-1번,금곡산업단지,사릉역,26.3,2,35,120,120,5:50,20:55,5:50,20:55,6:20,21:25,6:20,21:25,2026-02-13
36,남양주시,경기운수,5-2번,봉영사,오남역,10.2,1,45,55,55,6:00,21:05,6:00,21:05,6:30,21:30,6:30,21:30,2026-02-13
37,남양주시,경기운수,5-5번,접동마을,진접고.화봉초교.신안인스빌아파트,13.7,1,50,140,140,6:00,21:00,6:00,21:00,6:30,21:25,6:30,21:25,2026-02-13
38,남양주시,대원운수,55번,사능차고지,55번종점,42.9,9,15,20,35,5:10,22:00,5:10,22:00,6:05,23:00,6:05,23:00,2026-02-13
39,남양주시,대원운수,58번,차산리,다산정약용유적지.실학박물관,64.2,6,20,40,60,5:10,21:50,5:40,21:50,6:20,22:50,6:45,22:50,2026-02-13
40,남양주시,대원운수,6번,차산리,군장리종점,42.4,1,190,190,190,6:25,20:20,6:25,20:20,7:30,21:25,7:30,21:25,2026-02-13
41,남양주시,경기운수,6-1번,윗독정리,사릉역,21.7,1,75,140,140,5:55,21:00,5:55,21:00,6:20,21:30,6:20,21:30,2026-02-13
42,남양주시,경기운수,6-2번,진접역4.5번출구.엠타워.단우타워,윗독정,33.6,1,120,200,200,6:00,21:20,6:00,21:20,6:55,22:25,6:55,22:25,2026-02-13
43,남양주시,대원운수,6-6번,군장리종점,금곡동구종점.금곡초교,3.4,0,0,0,0,7:45,0:00,7:45,,7:55,,7:55,,2026-02-13
44,남양주시,대원운수,65번,차산리,경동시장앞,63.4,12,12,20,25,5:00,23:10,5:00,23:10,6:30,0:40,6:30,0:40,2026-02-13
45,남양주시,대원운수,65-1번,차산리,석계역1번출구A,64,3,60,90,120,5:25,21:20,5:25,21:20,6:45,22:45,6:45,22:45,2026-02-13
46,남양주시,대원운수,7번,훈련장입구,삼익아파트,17.7,2,40,110,120,5:55,21:25,5:55,21:25,6:25,22:00,6:25,22:00,2026-02-13
47,남양주시,경기버스,7-4번,금곡2리.경복대학,사릉역,27.9,1,90,155,155,5:20,20:15,5:20,20:15,6:00,20:55,6:00,20:55,2026-02-13
48,남양주시,경기버스,7-7번,광릉테크노밸리입구,진접역4.5번출구.엠타워.단우타워,15.6,1,70,150,150,5:45,20:20,5:45,20:20,6:13,20:50,6:13,20:50,2026-02-13
49,남양주시,경기버스,7-8번,광릉테크노밸리입구,접동마을,9.7,1,40,90,90,5:50,21:00,5:50,21:00,6:10,21:20,6:10,21:20,2026-02-13
50,남양주시,경기버스,7-9번,진접읍사무소,팔현2리마을회관,26.9,1,110,180,180,7:00,21:15,7:00,21:15,6:15,22:10,6:15,22:10,2026-02-13
51,남양주시,경기버스,7007번,광릉내,강남역.강남역사거리,85.8,12,10,30,40,5:10,22:30,5:10,22:30,6:30,23:50,6:30,23:50,2026-02-13
52,남양주시,경기버스,707번,진벌리차고지(미정차),현대코아,55.8,14,15,30,40,4:20,23:50,4:20,23:50,5:35,1:00,5:35,1:00,2026-02-13
53,남양주시,경기버스,71번,금곡산업단지,봉현마을.현대병원,10.1,2,20,90,90,6:00,22:00,6:00,22:00,6:20,22:20,6:20,22:20,2026-02-13
54,남양주시,경기버스,72번,진벌리차고지(미정차),봉현마을.광동중고등학교,15.5,1,60,140,140,6:00,21:30,6:00,21:30,6:35,22:05,6:35,22:05,2026-02-13
55,남양주시,대원운수,76번,수택고등학교정문,석계역,36.6,17,8,15,20,4:45,22:40,4:45,22:40,6:05,23:50,6:05,23:50,2026-02-13
56,남양주시,경기버스,77번,산림교육원앞,남양주천문대,12,1,85,155,155,6:15,20:10,6:15,20:10,6:50,20:50,6:50,20:50,2026-02-13
57,남양주시,대원운수,8-8A번,에코랜드수영장,비루개마을,15,1,120,180,180,7:00,19:00,7:00,19:00,7:25,19:25,7:25,19:25,2026-02-13
58,남양주시,대원운수,8-8B번,에코랜드수영장,하늘땅끝.용암리종점,15.1,0,120,180,180,6:00,20:00,6:00,20:00,6:25,20:25,6:25,20:25,2026-02-13
59,남양주시,대원운수,8-9번,청소년도움센터,송천리종점,16.6,1,65,130,130,6:35,21:50,6:35,21:50,7:00,22:15,7:00,22:15,2026-02-13
60,남양주시,대원운수,8001번,대성리,신사역3번출구,96.3,3,60,150,150,5:00,22:40,5:00,22:40,6:20,0:00,6:20,0:00,2026-02-13
61,남양주시,대원운수,8002번,대성리,잠실광역환승센터,77.4,23,4,10,17,5:10,23:10,5:10,22:50,6:05,0:10,6:05,23:50,2026-02-13
62,남양주시,대원운수,8002-1번,대성리,잠실광역환승센터,76.4,0,9,14,,6:33,7:26,,,7:33,8:40,,,2026-02-13
63,남양주시,경기버스,8012번,광릉내,잠실광역환승센터,74.9,15,8,13,25,5:00,23:00,5:00,23:00,6:00,0:00,6:00,0:00,2026-02-13
64,남양주시,태산운수,81번,별내차고지대기(미정차),별내별가람역4번출구.별가람마을.단독3블록,21.5,2,0,40,40,6:00,23:30,6:00,23:30,6:20,23:50,6:20,23:50,2026-02-13
65,남양주시,와부버스,88-3번,덕소역,운길산역,37.1,2,60,70,70,6:30,22:20,7:30,21:20,7:30,22:20,8:30,21:20,2026-02-13
66,남양주시,경기운수,9번,진벌리차고지(미정차),강변역(B),69.3,19,13,20,30,4:30,23:40,4:30,23:40,5:50,1:05,5:50,1:05,2026-02-13
67,남양주시,대원운수,97번,호평동차고지,서울아산병원동관,65.6,7,25,45,70,4:45,22:15,4:45,22:15,6:00,23:30,6:00,23:30,2026-02-13
68,남양주시,대원운수,98번,차산리,신동아아파트입구.한양병원,52.7,3,60,140,180,5:40,21:40,5:40,21:40,7:15,23:05,7:15,23:05,2026-02-13
69,남양주시,대원운수,98-1번,차산리,신동아아파트입구.한양병원,61.5,1,120,210,210,7:10,15:00,7:10,15:00,9:10,17:00,9:10,17:00,2026-02-13
70,남양주시,경기고속,M2316번,영남아파트.풍림아이원아파트,잠실광역환승센터,60.3,10,10,25,40,5:00,23:05,5:00,23:05,5:55,0:00,5:55,0:00,2026-02-13
71,남양주시,경기고속,M2323번,호평동차고지,잠실광역환승센터,62.9,13,8,15,20,5:00,23:20,5:00,23:20,5:50,0:10,5:50,0:10,2026-02-13
72,남양주시,대원운수,M2341번,대성리차고지(미정차),잠실광역환승센터,67.6,6,15,30,45,5:20,22:50,5:20,22:50,6:20,23:50,6:20,23:50,2026-02-13
73,남양주시,대원운수,M2352번,호평동차고지(미정차),잠실광역환승센터,54.2,10,10,20,25,5:00,23:00,5:00,23:00,5:50,23:50,5:50,23:50,2026-02-13
74,남양주시,대원운수,M2353번,차고지대기(미정차),잠실광역환승센터,37.5,10,10,20,30,5:20,23:15,5:20,23:15,6:10,23:55,6:10,23:55,2026-02-13
75,남양주시,대원운수,땡큐10번,다산차고지,두산알프하임정문,36.1,8,20,30,70,5:50,22:00,5:50,22:00,6:50,23:05,6:50,23:05,2026-02-13
76,남양주시,대원운수,땡큐12번,수택고등학교정문,반도유보라정문.다산포레스트2단지,26.8,4,30,50,50,5:30,22:30,5:30,22:30,6:20,23:20,6:20,23:20,2026-02-13
77,남양주시,대원운수,땡큐21번,산성마을입구,보광사.가곡리종점,11.4,2,15,90,90,5:35,22:50,5:35,22:50,5:55,23:10,5:55,23:10,2026-02-13
78,남양주시,대원운수,땡큐22번,차산리,답내초교,15.6,1,15,135,135,7:20,20:10,7:20,20:10,7:50,20:40,7:50,20:40,2026-02-13
79,남양주시,대원운수,땡큐23번,산성마을입구,금남2리입구,13.6,1,50,130,130,6:00,20:25,6:00,20:25,6:25,20:55,6:25,20:55,2026-02-13
80,남양주시,대원운수,땡큐24번,구봉마을입구,창현초등학교,25.7,3,30,75,120,5:10,22:00,5:10,22:00,5:55,22:45,5:55,22:45,2026-02-13
81,남양주시,대원운수,땡큐30번,청학리,사능차고지,33.4,10,8,25,25,5:50,22:30,5:50,22:30,6:40,23:20,6:40,23:20,2026-02-13
82,남양주시,경기버스,땡큐31번,진벌마을,극동.성호아파트.중앙병원,24.5,9,10,20,30,5:25,22:20,5:25,22:20,6:10,23:05,6:10,23:05,2026-02-13
83,남양주시,대원운수,땡큐32번,차산리,판곡중.판곡고.LH호평1단지,95.6,3,50,100,120,4:40,22:20,4:40,21:40,6:20,23:50,6:20,23:15,2026-02-13
84,남양주시,대원운수,땡큐33번,외구운마을,고로쇠마을.비금리,51.2,7,15,30,45,5:05,22:30,5:40,21:30,6:05,23:45,6:40,22:45,2026-02-13
85,남양주시,대원운수,땡큐34번,차산리,축령산자연휴양림,41.7,2,40,130,130,5:45,21:05,5:45,21:05,6:25,21:55,6:25,21:55,2026-02-13
86,남양주시,대원운수,땡큐35번,화도정수장,수산1리마을회관,36,2,50,130,190,6:25,20:20,6:25,19:25,7:15,21:15,7:15,20:25,2026-02-13
87,남양주시,대원운수,땡큐36번,마석역,지둔리마을회관,26.7,1,70,150,150,6:00,20:30,6:00,20:30,6:30,21:10,6:30,21:10,2026-02-13
88,남양주시,대원운수,땡큐37번,차산리,만취대,34,2,60,100,180,6:20,20:30,6:20,20:30,7:25,21:35,7:25,21:35,2026-02-13
89,남양주시,대원운수,땡큐50번,청학리,홍유릉.이석영광장.남양주고용복지플러스센터,57.3,16,10,35,40,5:25,22:00,5:25,22:00,6:55,23:30,6:55,23:30,2026-02-13
90,남양주시,대원운수,땡큐58-3번,대성리,도농역.동화중고교.다산플루리움(중),86,6,30,60,140,4:40,21:00,4:40,21:00,6:50,22:30,6:50,22:30,2026-02-13
91,남양주시,경기운수,땡큐60번,대경대학교서울한류캠퍼스,금곡동구종점.금곡초교,44.1,12,10,30,30,5:40,22:00,5:40,22:00,7:10,23:05,7:10,23:05,2026-02-13
92,남양주시,경기운수,땡큐70번,진벌리차고지(미정차),금곡동구종점.금곡초교,40.4,10,15,55,30,4:45,22:00,6:00,22:00,5:45,23:00,7:10,23:00,2026-02-13
93,남양주시,경기버스,땡큐90번,광릉내,한신더휴6.8단지,43.6,14,12,20,25,5:15,22:00,5:15,22:00,6:40,23:20,6:40,23:20,2026-02-13
94,남양주시,경기운수,땡큐11번,사능차고지,현대테라타워,30.4,9,10,25,30,5:10,22:30,5:10,22:30,6:10,23:00,6:10,23:00,2026-02-13
